"","rep.0..days.","rep.0..days."
"1",27004.422236595,19779.0148635405
"2",27006.812019379,19780.7652268251
"3",27009.2020136491,19782.5157450098
"4",27011.5922194242,19784.2664181084
"5",27013.9826367228,19786.0172461344
"6",27016.3732655637,19787.7682291017
"7",27018.7641059657,19789.519367024
"8",27021.1551579475,19791.2706599149
"9",27023.5464215277,19793.0221077882
"10",27025.9378967251,19794.7737106576
"11",27028.3295835585,19796.5254685368
"12",27030.7214820466,19798.2773814396
"13",27033.113592208,19800.0294493795
"14",27035.5059140616,19801.7816723705
"15",27037.898447626,19803.5340504261
"16",27040.2911929201,19805.2865835602
"17",27042.6841499624,19807.0392717864
"18",27045.0773187719,19808.7921151184
"19",27047.4706993672,19810.54511357
"20",27049.864291767,19812.298267155
"21",27052.2580959901,19814.051575887
"22",27054.6521120553,19815.8050397797
"23",27057.0463399813,19817.558658847
"24",27059.4407797868,19819.3124331025
"25",27061.8354314906,19821.06636256
"26",27064.2302951115,19822.8204472331
"27",27066.6253706681,19824.5746871358
"28",27069.0206581794,19826.3290822816
"29",27071.4161576639,19828.0836326843
"30",27073.8118691405,19829.8383383576
"31",27076.2077926279,19831.5931993154
"32",27078.603928145,19833.3482155713
"33",27081.0002757104,19835.1033871391
"34",27083.3968353429,19836.8587140325
"35",27085.7936070613,19838.6141962653
"36",27088.1905908843,19840.3698338512
"37",27090.5877868308,19842.1256268039
"38",27092.9851949195,19843.8815751373
"39",27095.3828151692,19845.6376788651
"40",27097.7806475986,19847.3939380009
"41",27100.1786922266,19849.1503525587
"42",27102.5769490718,19850.9069225521
"43",27104.9754181532,19852.6636479948
"44",27107.3740994894,19854.4205289007
"45",27109.7729930993,19856.1775652835
"46",27112.1720990016,19857.9347571569
"47",27114.5714172151,19859.6921045348
"48",27116.9709477587,19861.4496074308
"49",27119.370690651,19863.2072658587
"50",27121.770645911,19864.9650798324
"51",27124.1708135573,19866.7230493656
"52",27126.5711936089,19868.4811744719
"53",27128.9717860844,19870.2394551653
"54",27131.3725910027,19871.9978914595
"55",27133.7736083825,19873.7564833681
"56",27136.1748382428,19875.5152309052
"57",27138.5762806022,19877.2741340842
"58",27140.9779354797,19879.0331929192
"59",27143.3798028939,19880.7924074238
"60",27145.7818828638,19882.5517776118
"61",27148.184175408,19884.3113034969
"62",27150.5866805455,19886.0709850931
"63",27152.989398295,19887.830822414
"64",27155.3923286754,19889.5908154734
"65",27157.7954717055,19891.3509642851
"66",27160.1988274041,19893.1112688629
"67",27162.60239579,19894.8717292206
"68",27165.006176882,19896.632345372
"69",27167.410170699,19898.3931173308
"70",27169.8143772597,19900.1540451108
"71",27172.2187965831,19901.9151287259
"72",27174.623428688,19903.6763681898
"73",27177.0282735931,19905.4377635163
"74",27179.4333313173,19907.1993147192
"75",27181.8386018794,19908.9610218123
"76",27184.2440852983,19910.7228848094
"77",27186.6497815928,19912.4849037243
"78",27189.0556907818,19914.2470785708
"79",27191.4618128841,19916.0094093626
"80",27193.8681479185,19917.7718961137
"81",27196.2746959038,19919.5345388377
"82",27198.681456859,19921.2973375486
"83",27201.0884308029,19923.06029226
"84",27203.4956177542,19924.8234029859
"85",27205.903017732,19926.5866697399
"86",27208.3106307549,19928.350092536
"87",27210.7184568419,19930.1136713879
"88",27213.1264960119,19931.8774063094
"89",27215.5347482836,19933.6412973144
"90",27217.943213676,19935.4053444166
"91",27220.3518922079,19937.1695476299
"92",27222.7607838981,19938.9339069682
"93",27225.1698887656,19940.6984224451
"94",27227.5792068292,19942.4630940745
"95",27229.9887381077,19944.2279218703
"96",27232.3984826201,19945.9929058462
"97",27234.8084403851,19947.7580460162
"98",27237.2186114218,19949.5233423939
"99",27239.6289957488,19951.2887949933
"100",27242.0395933852,19953.0544038281
"101",27244.4504043498,19954.8201689122
"102",27246.8614286615,19956.5860902594
"103",27249.2726663391,19958.3521678836
"104",27251.6841174016,19960.1184017985
"105",27254.0957818678,19961.884792018
"106",27256.5076597566,19963.651338556
"107",27258.9197510869,19965.4180414262
"108",27261.3320558776,19967.1849006425
"109",27263.7445741475,19968.9519162188
"110",27266.1573059156,19970.7190881688
"111",27268.5702512008,19972.4864165065
"112",27270.9834100219,19974.2539012456
"113",27273.3967823979,19976.0215424
"114",27275.8103683476,19977.7893399835
"115",27278.22416789,19979.55729401
"116",27280.638181044,19981.3254044933
"117",27283.0524078284,19983.0936714473
"118",27285.4668482621,19984.8620948858
"119",27287.8815023642,19986.6306748227
"120",27290.2963701534,19988.3994112718
"121",27292.7114516487,19990.1683042469
"122",27295.126746869,19991.937353762
"123",27297.5422558332,19993.7065598308
"124",27299.9579785602,19995.4759224672
"125",27302.373915069,19997.2454416852
"126",28366.0118048418,19003.8679039561
"127",28368.5220828276,19005.5496698516
"128",28371.032582963,19007.2315845766
"129",28373.5433052675,19008.9136481444
"130",28376.0542497609,19010.5958605679
"131",28378.5654164627,19012.2782218606
"132",28381.0768053927,19013.9607320354
"133",28383.5884165705,19015.6433911056
"134",28386.1002500158,19017.3261990844
"135",28388.6123057483,19019.0091559849
"136",28391.1245837876,19020.6922618204
"137",28393.6370841534,19022.3755166039
"138",28396.1498068654,19024.0589203487
"139",28398.6627519433,19025.742473068
"140",28401.1759194066,19027.426174775
"141",28403.6893092752,19029.1100254827
"142",28406.2029215687,19030.7940252045
"143",28408.7167563068,19032.4781739535
"144",28411.2308135091,19034.1624717429
"145",28413.7450931954,19035.8469185858
"146",28416.2595953854,19037.5315144955
"147",28418.7743200986,19039.2162594852
"148",28421.2892673549,19040.9011535681
"149",28423.804437174,19042.5861967573
"150",28426.3198295754,19044.271389066
"151",28428.8354445789,19045.9567305075
"152",28431.3512822043,19047.642221095
"153",28433.8673424712,19049.3278608415
"154",28436.3836253992,19051.0136497604
"155",28438.9001310082,19052.6995878649
"156",28441.4168593179,19054.3856751681
"157",28443.9338103479,19056.0719116832
"158",28446.4509841179,19057.7582974235
"159",28448.9683806476,19059.4448324022
"160",28451.4859999569,19061.1315166324
"161",28454.0038420653,19062.8183501274
"162",28456.5219069926,19064.5053329003
"163",28459.0401947586,19066.1924649645
"164",28461.5587053829,19067.8797463331
"165",28464.0774388852,19069.5671770192
"166",28466.5963952854,19071.2547570363
"167",28469.115574603,19072.9424863973
"168",28471.6349768579,19074.6303651156
"169",28474.1546020698,19076.3183932044
"170",28476.6744502584,19078.0065706769
"171",28479.1945214434,19079.6948975463
"172",28481.7148156445,19081.3833738259
"173",28484.2353328816,19083.0719995288
"174",28486.7560731743,19084.7607746683
"175",28489.2770365424,19086.4496992576
"176",28491.7982230056,19088.13877331
"177",28494.3196325837,19089.8279968386
"178",28496.8412652964,19091.5173698567
"179",28499.3631211634,19093.2068923775
"180",28501.8852002046,19094.8965644143
"181",28504.4075024396,19096.5863859802
"182",28506.9300278882,19098.2763570886
"183",28509.4527765701,19099.9664777526
"184",28511.9757485052,19101.6567479855
"185",28514.4989437131,19103.3471678005
"186",28517.0223622137,19105.0377372109
"187",28519.5460040267,19106.7284562298
"188",28522.0698691718,19108.4193248706
"189",28524.5939576689,19110.1103431465
"190",28527.1182695376,19111.8015110707
"191",28529.6428047977,19113.4928286564
"192",28532.1675634691,19115.184295917
"193",28534.6925455715,19116.8759128656
"194",28537.2177511247,19118.5676795155
"195",28539.7431801483,19120.25959588
"196",28542.2688326623,19121.9516619722
"197",28544.7947086864,19123.6438778055
"198",28547.3208082404,19125.3362433931
"199",28549.847131344,19127.0287587482
"200",28552.373678017,19128.7214238842
"201",28554.9004482793,19130.4142388142
"202",28557.4274421506,19132.1072035515
"203",28559.9546596507,19133.8003181094
"204",28562.4821007993,19135.4935825011
"205",28565.0097656164,19137.1869967399
"206",28567.5376541216,19138.8805608391
"207",28570.0657663348,19140.5742748118
"208",28572.5941022757,19142.2681386715
"209",28575.1226619642,19143.9621524313
"210",28577.6514454201,19145.6563161045
"211",28580.1804526632,19147.3506297043
"212",28582.7096837132,19149.0450932441
"213",28585.23913859,19150.7397067372
"214",28587.7688173133,19152.4344701967
"215",28590.2987199031,19154.1293836359
"216",28592.8288463791,19155.8244470682
"217",28595.3591967611,19157.5196605068
"218",28597.8897710689,19159.2150239649
"219",28600.4205693224,19160.9105374559
"220",28602.9515915414,19162.606200993
"221",28605.4828377456,19164.3020145896
"222",28608.014307955,19165.9979782588
"223",28610.5460021893,19167.6940920139
"224",28613.0779204683,19169.3903558684
"225",28615.610062812,19171.0867698353
"226",28618.14242924,19172.7833339281
"227",28620.6750197723,19174.48004816
"228",28623.2078344287,19176.1769125442
"229",28625.740873229,19177.8739270941
"230",28628.274136193,19179.571091823
"231",28630.8076233407,19181.2684067442
"232",28633.3413346917,19182.9658718709
"233",28635.875270266,19184.6634872164
"234",28638.4094300835,19186.3612527941
"235",28640.9438141638,19188.0591686172
"236",28643.478422527,19189.757234699
"237",28646.0132551929,19191.4554510528
"238",28648.5483121812,19193.153817692
"239",28651.0835935119,19194.8523346298
"240",28653.6190992047,19196.5510018794
"241",28656.1548292797,19198.2498194544
"242",28658.6907837565,19199.9487873678
"243",28661.2269626552,19201.6479056331
"244",28663.7633659954,19203.3471742635
"245",28666.2999937972,19205.0465932723
"246",28668.8368460803,19206.7461626729
"247",28671.3739228647,19208.4458824785
"248",28673.9112241701,19210.1457527026
"249",28676.4487500165,19211.8457733583
"250",28678.9865004238,19213.545944459
"251",28681.5244754117,19215.2462660179
"252",31574.0031640635,18221.7995245062
"253",31576.7973363854,18223.4120804948
"254",31579.5917559803,18225.0247791881
"255",31582.3864228702,18226.6376205988
"256",31585.1813370768,18228.2506047395
"257",31587.976498622,18229.8637316227
"258",31590.7719075278,18231.4770012613
"259",31593.5675638161,18233.0904136677
"260",31596.3634675087,18234.7039688546
"261",31599.1596186276,18236.3176668346
"262",31601.9560171946,18237.9315076204
"263",31604.7526632316,18239.5454912247
"264",31607.5495567605,18241.15961766
"265",31610.3466978033,18242.773886939
"266",31613.1440863818,18244.3882990744
"267",31615.9417225179,18246.0028540787
"268",31618.7396062336,18247.6175519647
"269",31621.5377375508,18249.2323927449
"270",31624.3361164913,18250.847376432
"271",31627.1347430771,18252.4625030387
"272",31629.9336173301,18254.0777725776
"273",31632.7327392723,18255.6931850614
"274",31635.5321089254,18257.3087405027
"275",31638.3317263115,18258.9244389142
"276",31641.1315914525,18260.5402803084
"277",31643.9317043703,18262.1562646981
"278",31646.7320650869,18263.772392096
"279",31649.5326736241,18265.3886625146
"280",31652.3335300039,18267.0050759667
"281",31655.1346342482,18268.6216324648
"282",31657.935986379,18270.2383320217
"283",31660.7375864182,18271.85517465
"284",31663.5394343877,18273.4721603624
"285",31666.3415303095,18275.0892891715
"286",31669.1438742055,18276.70656109
"287",31671.9464660977,18278.3239761306
"288",31674.749306008,18279.9415343059
"289",31677.5523939584,18281.5592356286
"290",31680.3557299708,18283.1770801113
"291",31683.1593140671,18284.7950677668
"292",31685.9631462694,18286.4131986077
"293",31688.7672265996,18288.0314726467
"294",31691.5715550795,18289.6498898964
"295",31694.3761317313,18291.2684503695
"296",31697.1809565768,18292.8871540787
"297",31699.9860296381,18294.5060010367
"298",31702.791350937,18296.1249912561
"299",31705.5969204956,18297.7441247497
"300",31708.4027383358,18299.3634015301
"301",31711.2088044796,18300.9828216099
"302",31714.015118949,18302.6023850019
"303",31716.8216817659,18304.2220917188
"304",31719.6284929524,18305.8419417732
"305",31722.4355525303,18307.4619351778
"306",31725.2428605218,18309.0820719453
"307",31728.0504169487,18310.7023520884
"308",31730.8582218331,18312.3227756198
"309",31733.6662751969,18313.9433425521
"310",31736.4745770621,18315.5640528981
"311",31739.2831274508,18317.1849066705
"312",31742.0919263849,18318.8059038819
"313",31744.9009738863,18320.427044545
"314",31747.7102699772,18322.0483286726
"315",31750.5198146796,18323.6697562772
"316",31753.3296080153,18325.2913273717
"317",31756.1396500064,18326.9130419688
"318",31758.9499406749,18328.534900081
"319",31761.7604800429,18330.1569017212
"320",31764.5712681323,18331.779046902
"321",31767.3823049652,18333.4013356361
"322",31770.1935905635,18335.0237679363
"323",31773.0051249492,18336.6463438151
"324",31775.8169081445,18338.2690632855
"325",31778.6289401713,18339.8919263599
"326",31781.4412210516,18341.5149330513
"327",31784.2537508074,18343.1380833722
"328",31787.0665294608,18344.7613773353
"329",31789.8795570339,18346.3848149535
"330",31792.6928335485,18348.0083962394
"331",31795.5063590268,18349.6321212056
"332",31798.3201334908,18351.2559898651
"333",31801.1341569625,18352.8800022303
"334",31803.948429464,18354.5041583141
"335",31806.7629510173,18356.1284581292
"336",31809.5777216445,18357.7529016883
"337",31812.3927413675,18359.3774890042
"338",31815.2080102084,18361.0022200894
"339",31818.0235281893,18362.6270949569
"340",31820.8392953323,18364.2521136192
"341",31823.6553116593,18365.8772760892
"342",31826.4715771924,18367.5025823795
"343",31829.2880919537,18369.1280325028
"344",31832.1048559652,18370.753626472
"345",31834.921869249,18372.3793642997
"346",31837.7391318272,18374.0052459987
"347",31840.5566437218,18375.6312715816
"348",31843.3744049548,18377.2574410613
"349",31846.1924155484,18378.8837544504
"350",31849.0106755246,18380.5102117617
"351",31851.8291849055,18382.136813008
"352",31854.6479437131,18383.7635582019
"353",31857.4669519695,18385.3904473563
"354",31860.2862096969,18387.0174804838
"355",31863.1057169172,18388.6446575972
"356",31865.9254736525,18390.2719787092
"357",31868.745479925,18391.8994438326
"358",31871.5657357567,18393.5270529801
"359",31874.3862411698,18395.1548061644
"360",31877.2069961862,18396.7827033984
"361",31880.028000828,18398.4107446948
"362",31882.8492551175,18400.0389300662
"363",31885.6707590766,18401.6672595255
"364",31888.4925127274,18403.2957330854
"365",31891.3145160921,18404.9243507587
"366",31894.1367691928,18406.5531125581
"367",31896.9592720515,18408.1820184964
"368",31899.7820246904,18409.8110685863
"369",31902.6050271315,18411.4402628405
"370",31905.428279397,18413.0696012719
"371",31908.2517815089,18414.6990838933
"372",31911.0755334895,18416.3287107172
"373",31913.8995353607,18417.9584817566
"374",31916.7237871448,18419.5883970242
"375",31919.5482888638,18421.2184565327
"376",31922.3730405398,18422.848660295
"377",31925.198042195,18424.4790083237
"378",30569.3027479647,17430.9622870893
"379",30572.0080083397,17432.5048571623
"380",30574.7135081193,17434.0475637466
"381",30577.4192473248,17435.5904068542
"382",30580.1252259773,17437.1333864972
"383",30582.831444098,17438.6765026877
"384",30585.5379017082,17440.2197554378
"385",30588.2445988289,17441.7631447596
"386",30590.9515354815,17443.3066706651
"387",30593.6587116871,17444.8503331665
"388",30596.3661274669,17446.3941322757
"389",30599.0737828421,17447.938068005
"390",30601.781677834,17449.4821403664
"391",30604.4898124636,17451.026349372
"392",30607.1981867523,17452.5706950338
"393",30609.9068007212,17454.1151773641
"394",30612.6156543915,17455.6597963748
"395",30615.3247477846,17457.2045520781
"396",30618.0340809214,17458.7494444861
"397",30620.7436538234,17460.2944736108
"398",30623.4534665117,17461.8396394644
"399",30626.1635190075,17463.384942059
"400",30628.873811332,17464.9303814066
"401",30631.5843435066,17466.4759575194
"402",30634.2951155523,17468.0216704095
"403",30637.0061274904,17469.5675200889
"404",30639.7173793422,17471.1135065698
