"","rep.0..days.","rep.0..days."
"1",0,0
"2",27829.3064658273,20362.1975173419
"3",27910.8952081846,20350.5230939907
"4",27828.2150009724,20312.7089570053
"5",27863.3602180192,20306.1559948782
"6",27867.9186720209,20308.7923795748
"7",27808.4201238707,20307.3200242002
"8",27842.8659735143,20301.0430362672
"9",27891.7415210593,20302.1526339823
"10",27954.5809133534,20295.8711220502
"11",28068.127007836,20296.6736592661
"12",28455.7703272586,20300.0199073421
"13",28243.6243205241,20301.0547041494
"14",28210.5624448477,20296.6792549726
"15",28681.7783540196,20299.9521726642
"16",29782.3746298304,20306.9481247526
"17",28559.0359926068,20316.0192658501
"18",28788.5979652565,20324.0430766051
"19",28206.2536190551,20327.1967444905
"20",28557.7122014109,20353.3077385692
"21",28464.1477115607,20348.760823553
"22",28714.2421033345,20339.2112952306
"23",28798.52784308,20352.261998618
"24",28511.579770866,20361.3307916791
"25",28200.1882301055,20379.8520562584
"26",28259.433739855,20361.0570896545
"27",28768.3023068787,20337.3070910182
"28",29201.0311097215,20358.5172542522
"29",29028.1128687926,20369.1528584539
"30",28894.811489352,20356.454277484
"31",28509.7491673166,20353.5098333707
"32",28450.392376085,20354.2635283813
"33",28604.7684749791,20306.1808464723
"34",28450.0000806398,20305.0582689981
"35",28665.7439594517,20294.7937139298
"36",28643.0590654034,20290.7302112172
"37",28784.3206211373,20287.4338147887
"38",28795.1018016678,20286.6480176541
"39",28585.5159477419,20277.8416150379
"40",28278.7640873309,20283.8968934153
"41",28239.3338589683,20279.1665308425
"42",28322.2399866614,20282.2591732019
"43",28616.0815386038,20279.4470346231
"44",28830.5458908192,20278.3014339971
"45",28832.3272074826,20282.6114005925
"46",28707.8917195561,20279.995556148
"47",29157.9788431468,20281.9249308473
"48",29033.582787456,20293.5512230569
"49",28864.2242791987,20285.1130122697
"50",28640.423457942,20272.2521226401
"51",29253.7261605794,20268.6952908738
"52",29290.3289265915,20270.2228301327
"53",30106.1712809188,20267.8029110238
"54",29871.7053362307,20272.0226182253
"55",29519.6493320582,20265.8572049083
"56",30073.1246734179,20266.4089163471
"57",29120.9079186022,20262.0249005917
"58",29018.9311049374,20262.9857825496
"59",28984.1452944367,20264.7425875992
"60",28638.6037809069,20260.9597405991
"61",28865.4788821249,20257.4251511162
"62",28699.246659826,20257.2260262183
"63",28348.8360739445,20256.5718929236
"64",28186.6623485633,20259.9958819189
"65",28076.3047945365,20273.9977237405
"66",28156.837280492,20277.9489873191
"67",28269.5637881738,20291.9235454505
"68",28182.695011756,20293.7940490469
"69",28015.8378177682,20307.3981894954
"70",28315.0914611564,20299.2503346069
"71",28271.5559977884,20317.7537799872
"72",28267.4837195584,20325.3943459843
"73",28114.6191721736,20322.881346263
"74",28130.4695338855,20320.468907747
"75",27955.5551035641,20339.3989234261
"76",27885.6810815874,20352.8734046079
"77",27803.0354499374,20344.2265743201
"78",27723.3081559409,20323.7664871978
"79",27749.1811114965,20345.813923885
"80",27709.8053625133,20312.573607543
"81",27671.7923579127,20316.9009818067
"82",27686.5223996408,20349.5424298851
"83",27629.8122596922,20384.6646364107
"84",27625.2799356448,20381.1640461407
"85",27618.4859345927,20384.0407725999
"86",27677.4176824093,20400.7635690277
"87",27691.6599708492,20416.6104552987
"88",27755.0131480103,20436.1412678253
"89",27660.4668463571,20433.7944095588
"90",27658.6478578378,20422.7179672506
"91",27649.0689507937,20449.4789349689
"92",27632.3068405988,20446.1527303483
"93",27610.9146438818,20448.5408246558
"94",27678.8881362979,20453.9335020533
"95",27626.4159859931,20441.4890501257
"96",27681.4505426104,20441.1565719001
"97",27745.0819837647,20452.6953605507
"98",27912.4194489795,20446.1056942456
"99",27843.5550280244,20473.2203123508
"100",27843.9365244763,20467.4096536716
"101",27790.5469283106,20487.5448169409
"102",27736.4008810984,20501.1101801439
"103",27658.1012940113,20540.645793143
"104",27751.0642626709,20551.7761717773
"105",27824.3881233874,20553.3593509129
"106",27762.9112716005,20570.7645484798
"107",27701.8550789796,20588.1559157099
"108",28103.1328709732,20522.7791116239
"109",28113.4305562118,20520.9413658908
"110",28278.4244006959,20520.0519173263
"111",28567.203777928,20539.7538069333
"112",28244.1722932034,20563.307786655
"113",28210.5738547737,20561.522702942
"114",28031.0531310814,20573.9650938967
"115",28359.1851997878,20590.3719905234
"116",28383.1788772916,20585.3595498637
"117",28391.8638553858,20553.9089302567
"118",28590.7312436919,20582.4384223043
"119",28427.2061443197,20588.9833329771
"120",28567.8047172777,20603.2246148047
"121",28948.7561099959,20568.5548841797
"122",28892.0772960113,20598.2807824291
"123",29277.7051783992,20607.1976967842
"124",29731.4297393595,20621.217370796
"125",29553.7839534971,20635.4074105229
"126",29674.1565300293,20412.564793027
"127",29788.4844402032,20447.6548650384
"128",29688.21549447,20464.0791598436
"129",29685.6481244475,20516.5177821138
"130",29635.0019265168,20486.5838039695
"131",29652.5704031206,20512.9204357882
"132",29788.3138140661,20458.4207811261
"133",29774.4027842926,20468.5591763036
"134",29687.7447174661,20454.2526910397
"135",29667.1846093944,20421.5700144024
"136",29588.3986448196,20424.9558088198
"137",29588.9141231502,20453.1670308645
"138",29541.3512667839,20475.9719828678
"139",29546.1165156596,20498.8725545104
"140",29568.1016482995,20502.005795614
"141",29570.9449845999,20465.7703681628
"142",29609.9814587504,20517.2421084809
"143",29569.8636667036,20532.4366721106
"144",29567.0707987968,20535.1128208364
"145",29556.0154321825,20507.3601679114
"146",29582.2474893653,20486.9626979949
"147",29637.2942495021,20569.7229765412
"148",29617.6504376695,20493.8127614464
"149",29642.9214823149,20538.9236713778
"150",29643.4771189021,20595.4082163446
"151",29670.5421321616,20571.345200914
"152",29723.4811898349,20572.8905828392
"153",29703.5169174725,20573.9580132367
"154",29740.100626564,20555.5750766086
"155",29779.7511188216,20549.8708096456
"156",29876.1145061722,20488.9796025518
"157",29776.0737881573,20486.7226571644
"158",29891.6775663054,20494.6355571665
"159",29888.0394380169,20473.8747594052
"160",29735.5395749097,20454.17749943
"161",29742.7915118607,20462.9602552442
"162",29675.4212441004,20452.6280546152
"163",29753.0498495087,20438.2709015049
"164",29700.7922751351,20478.4972414874
"165",29759.0226524441,20486.3259442795
"166",29731.8916205474,20454.7789106137
"167",29819.5284322801,20433.8284198364
"168",29860.1322368192,20424.1155221699
"169",29978.4022994323,20431.8949378916
"170",29766.7039009386,20480.422801247
"171",29827.3418521901,20468.048368133
"172",29947.3666114539,20467.0571562459
"173",30141.7357764638,20530.6262278314
"174",30150.2554389397,20531.765325158
"175",30619.9347397313,20565.7118703982
"176",31006.0133237073,20584.9737709386
"177",31005.2256790866,20562.2642067167
"178",30141.5058713362,20599.0538806883
"179",30031.0875047535,20606.0677072996
"180",30316.9463179277,20561.0731004975
"181",30274.1640042675,20548.3145626487
"182",30280.8863921196,20500.6306618897
"183",30390.313968734,20469.1554278486
"184",30820.5676984928,20468.4627950438
"185",30734.2906911238,20413.4255651566
"186",30618.2958713161,20405.5458199983
"187",30932.0637456252,20395.5253666185
"188",31561.3332212478,20369.535582433
"189",32748.6122602042,20348.0642684053
"190",32282.2457483065,20352.7919850735
"191",33351.0301837683,20347.8438507173
"192",31957.1162937272,20360.0106315436
"193",31524.0198117164,20345.6024805433
"194",32229.2385082684,20321.5307206563
"195",32938.7191094662,20321.5686729852
"196",33591.5814839154,20331.4970502269
"197",32851.6040241725,20326.8182326208
"198",33121.4990465255,20321.6190271349
"199",33877.4352341765,20312.3600067183
"200",34378.246416892,20297.7107244881
"201",35511.4304836305,20299.4764589631
"202",37102.8798768374,20294.7485027435
"203",35537.5388840676,20297.3871605499
"204",35434.7092516577,20297.3591500744
"205",33824.4126240193,20286.1553840188
"206",34182.9756182352,20286.7651654978
"207",33813.2244152022,20282.6512290193
"208",33775.3715772098,20284.940483288
"209",33327.8968075572,20278.9348679219
"210",34367.2012417561,20281.6056836951
"211",33919.5885273801,20280.5194245859
"212",33425.7552852624,20284.6802769979
"213",34123.7977902991,20288.4341864502
"214",34226.6535864525,20286.4469882062
"215",34941.5997597631,20292.1268528797
"216",34624.2401009989,20284.0671858897
"217",34639.2340703908,20293.1720933575
"218",35251.3544119347,20293.3621347641
"219",35352.9583233736,20287.3611625162
"220",35869.5531754042,20287.0844741572
"221",35512.9094288008,20282.333432037
"222",35715.2779060786,20283.0204647131
"223",35298.7574786131,20282.1889497704
"224",34812.2338232519,20277.9918885359
"225",34632.4215820013,20281.6186208934
"226",34299.6444369797,20283.6451393047
"227",34081.8647948824,20289.2753383083
"228",34783.9132022339,20277.814867448
"229",34603.7730161176,20279.881391768
"230",34684.331481399,20297.7932603988
"231",34351.1497941412,20296.7597408795
"232",33158.4371842619,20296.1020868688
"233",33450.7157749032,20327.0229524916
"234",32631.2183946905,20329.3590739993
"235",32596.6274097364,20342.5366629571
"236",33450.7743950855,20349.0146869887
"237",33164.7382124111,20338.051487533
"238",33083.3838101129,20341.8316076855
"239",32755.5265065858,20346.9668564965
"240",32719.9338285616,20341.6679196211
"241",33091.1204557767,20351.8765712021
"242",33597.1027149574,20357.7768735833
"243",33999.8636940783,20353.574619369
"244",34038.3068352633,20348.7490345522
"245",33895.9831108254,20357.6273164499
"246",33990.6987922196,20370.2509019299
"247",33840.6857354097,20365.3066534068
"248",33187.6054729239,20368.1320357472
"249",32669.0719781568,20369.4233802846
"250",32724.4777628936,20365.3943340657
"251",33248.0741062503,20379.8252947831
"252",33651.9043462375,20160.4167772147
"253",33658.3709552882,20206.1995111471
"254",33733.0313092622,20220.1455732972
"255",33800.8590224928,20177.9479446677
"256",33791.7268335577,20178.9083940645
"257",33916.1371220962,20163.6556199895
"258",33911.6985816492,20122.5988487402
"259",33886.1469942122,20105.2262631899
"260",34006.4979597721,20091.3714324054
"261",34149.5407846114,20099.0395947542
"262",34118.1458926205,20088.0417997777
"263",34149.7450906685,20086.4541029681
"264",33938.7008915139,20108.3977461261
"265",33900.2947642255,20095.0810552807
"266",34036.3706222775,20062.7450178619
"267",34066.8775951778,20050.0379896965
"268",33964.5545301641,20039.5791186348
"269",33927.1841985605,20035.6708545956
"270",33798.1898878186,20019.5639746727
"271",33772.1313466416,20019.9452413746
"272",33748.5260577123,20023.6287050399
"273",33824.5297633972,20031.8525556393
"274",33908.1915611739,20028.3123692337
"275",33819.5942494143,20013.1255899811
"276",33843.7264963256,20010.0389169336
"277",33995.7565310869,20008.9572868842
"278",33970.9144615039,19996.4564970452
"279",33967.4589266874,19994.6112827052
"280",34082.6002896952,19991.1123597961
"281",33917.7955002887,19994.6732194449
"282",34042.4642175663,19985.7263444645
"283",33969.1798048188,19981.8502804905
"284",34005.3999516474,19983.1673681806
"285",34033.9708825359,19981.5189348471
"286",34238.2676321821,19978.3874617961
"287",34378.7529833393,19976.3954775737
"288",34229.0395160623,19975.7605028662
"289",34285.0638710744,19987.6941240509
"290",34435.9728889004,19982.8729938405
"291",34795.1949801018,19980.8832492925
"292",34566.5920572964,19991.7378693851
"293",34426.680627262,19989.6056916891
"294",34386.1951183695,19979.7332927656
"295",34132.0174954168,19981.9191448127
"296",33962.4625194744,19985.5557390236
"297",33994.0797371501,19983.9576498874
"298",33916.213221247,19984.4979389931
"299",33910.8961384324,19980.554220658
"300",34005.0912677169,19982.0856263067
"301",33825.8212445882,19984.5325541682
"302",33734.7764796991,19979.4954053539
"303",33786.3165585351,19983.3256338859
"304",33705.2911113825,19981.6578988781
"305",33703.9205097467,19991.6588945399
"306",33818.9915018339,19988.5627406517
"307",33792.5641947782,19988.9979853198
"308",33803.368086773,19993.7064177666
"309",33662.4788810768,19988.8926991506
"310",33661.2172814262,19981.463002093
"311",33633.3553698568,19978.8782076483
"312",33638.1461131702,19979.5679007365
"313",33669.0811548063,19980.0961603564
"314",33642.1256632855,19981.2774455766
"315",33620.4281360506,19980.0912788949
"316",33620.6903612084,19982.9939272364
"317",33624.440868776,19983.1676725293
"318",33626.1604206135,19983.9245687981
"319",33625.8272202016,19985.9160005278
"320",33637.1510392437,19987.3856185996
"321",33652.6160001339,19988.5425212783
"322",33642.731508657,19990.5065149795
"323",33643.4645219068,19990.9466861316
"324",33658.4627650251,19995.0119188894
"325",33673.4979913786,19997.3664673172
"326",33657.2771642947,19998.6959007379
"327",33646.8394127851,20000.434338767
"328",33642.9930369446,20001.4693208648
"329",33645.5009170315,20005.355661716
"330",33647.465203559,20007.7562716526
"331",33649.9244099306,20009.132698114
"332",33652.6419102144,20008.4046169493
"333",33655.5477986794,20006.8744610484
"334",33658.3017036756,20011.2235327137
"335",33661.1248343799,20012.7125197218
"336",33664.2473947048,20016.2302956071
"337",33666.8142634719,20016.931408364
"338",33669.5057110695,20016.4169585899
"339",33672.2281852795,20019.7456111811
"340",33675.0425958972,20023.0463386445
"341",33677.8752009218,20025.6732620751
"342",33680.6976068474,20029.8451421525
"343",33683.4983317601,20031.6106689696
"344",33686.3190864072,20033.1252363246
"345",33689.1007534634,20036.7857801481
"346",33691.9164657451,20038.2259577752
"347",33694.7333766848,20039.8534550423
"348",33697.5512366088,20040.2945505692
"349",33700.3691535594,20042.4244785071
"350",33703.1874037569,20043.4315336348
"351",33706.0058881992,20045.0393862688
"352",33708.8246670174,20047.5634176928
