"","rep.0..days.","rep.0..days."
"1",27003.982023692,19778.1196043428
"2",27006.3717675189,19779.8698884005
"3",27008.7617228285,19781.6203273514
"4",27011.1518896396,19783.3709212091
"5",27013.5422679708,19785.1216699873
"6",27015.9328578409,19786.8725736997
"7",27018.3236592685,19788.62363236
"8",27020.7146722725,19790.374845982
"9",27023.1058968715,19792.1262145794
"10",27025.4973330843,19793.8777381659
"11",27027.8889809296,19795.6294167551
"12",27030.2808404261,19797.3812503609
"13",27032.6729115925,19799.1332389968
"14",27035.0651944476,19800.8853826768
"15",27037.4576890101,19802.6376814144
"16",27039.8503952988,19804.3901352234
"17",27042.2433133324,19806.1427441175
"18",27044.6364431296,19807.8955081104
"19",27047.0297847091,19809.648427216
"20",27049.4233380898,19811.4015014478
"21",27051.8171032903,19813.1547308196
"22",27054.2110803294,19814.9081153452
"23",27056.6052692258,19816.6616550382
"24",27058.9996699984,19818.4153499125
"25",27061.3942826657,19820.1691999817
"26",27063.7891072467,19821.9232052596
"27",27066.18414376,19823.6773657599
"28",27068.5793922244,19825.4316814964
"29",27070.9748526587,19827.1861524827
"30",27073.3705250816,19828.9407787327
"31",27075.7664095118,19830.6955602601
"32",27078.1625059682,19832.4504970785
"33",27080.5588144695,19834.2055892018
"34",27082.9553350345,19835.9608366437
"35",27085.3520676819,19837.716239418
"36",27087.7490124305,19839.4717975383
"37",27090.1461692991,19841.2275110185
"38",27092.5435383064,19842.9833798722
"39",27094.9411194713,19844.7394041133
"40",27097.3389128124,19846.4955837555
"41",27099.7369183486,19848.2519188125
"42",27102.1351360986,19850.008409298
"43",27104.5335660813,19851.765055226
"44",27106.9322083154,19853.52185661
"45",27109.3310628197,19855.2788134639
"46",27111.7301296129,19857.0359258014
"47",27114.129408714,19858.7931936363
"48",27116.5289001415,19860.5506169824
"49",27118.9286039144,19862.3081958533
"50",27121.3285200515,19864.0659302629
"51",27123.7286485715,19865.8238202249
"52",27126.1289894932,19867.5818657531
"53",27128.5295428354,19869.3400668613
"54",27130.930308617,19871.0984235632
"55",27133.3312868566,19872.8569358726
"56",27135.7324775732,19874.6156038032
"57",27138.1338807855,19876.3744273689
"58",27140.5354965123,19878.1334065835
"59",27142.9373247725,19879.8925414606
"60",27145.3393655848,19881.651832014
"61",27147.7416189681,19883.4112782577
"62",27150.1440849411,19885.1708802052
"63",27152.5467635227,19886.9306378704
"64",27154.9496547317,19888.6905512671
"65",27157.3527585869,19890.4506204091
"66",27159.7560751072,19892.2108453101
"67",27162.1596043112,19893.9712259839
"68",27164.563346218,19895.7317624443
"69",27166.9673008462,19897.4924547052
"70",27169.3714682148,19899.2533027802
"71",27171.7758483425,19901.0143066832
"72",27174.1804412482,19902.775466428
"73",27176.5852469507,19904.5367820283
"74",27178.9902654688,19906.298253498
"75",27181.3954968214,19908.0598808508
"76",27183.8009410273,19909.8216641005
"77",27186.2065981054,19911.583603261
"78",27188.6124680744,19913.345698346
"79",27191.0185509532,19915.1079493693
