"","rep.0..days.","rep.0..days."
"1",27812.650391,20370.40039
"2",27560.519531,20440.81055
"3",26887.279297,20504.43945
"4",27519.689453,21158.71094
"5",27179.490234,21337.81055
"6",27112.900391,21316.4707
"7",27615.849609,21161.5
"8",27230.859375,21436.21094
"9",26867.009766,21236.31055
"10",26468.130859,21622.25
"11",25837.779297,21467.03906
"12",24450.849609,21304.43945
"13",25114.980469,21407.26953
"14",25201.869141,21361.59961
"15",23818.859375,21388.0293
"16",21757.630859,21067.05078
"17",24090.169922,20676.93945
"18",23539.269531,20525.83008
"19",25122.369141,20449.82031
"20",24053.609375,20109.86914
"21",24291.800781,20156.81055
"22",23653.689453,20242.67969
"23",23455.740234,20055.28906
"24",24123.580078,19915.46094
"25",25032.080078,19719.28906
"26",24808.699219,19883.94922
"27",23469.460938,20118.80078
"28",22616.109375,19826.41016
"29",22921.669922,19694.33008
"30",23169.550781,19852.19922
"31",24021.679688,19809.0293
"32",24148.429688,19830.42969
"33",23759.25,20368.05078
"34",24123.169922,20397.10938
"35",23590.580078,20576.76953
"36",23623,20629.39063
"37",23305.039063,20815.08984
"38",23269.140625,20760.98047
"39",23714.75,20859.2207
"40",24483.839844,20947.24023
"41",24591.689453,21030.2207
"42",24331.669922,21328.24023
"43",23584.970703,21297.88086
"44",23119.869141,21042.64063
"45",23114.339844,20512.99023
"46",23342.730469,20387.5293
"47",22501.330078,20467.51953
"48",22705.050781,20038.41992
"49",22995.349609,20169.98047
"50",23422.759766,20510.19922
"51",22301.640625,20668.43945
"52",22237.109375,20795.11914
"53",21084.609375,20868.33984
"54",21384.609375,20259.13086
"55",21866.939453,20227.30078
"56",21108.220703,20172.46094
"57",22464.519531,20436.11914
"58",22617.009766,20794.36914
"59",22664.220703,21059.19922
"60",23285.949219,20750.7207
"61",22849.199219,20495.28906
"62",23137.460938,20706.91992
"63",23872.429688,20564.16992
"64",24264.630859,20880.5
"65",24578.759766,21224.74023
"66",24311.689453,21322.36914
"67",23984.570313,21561.06055
"68",24187.099609,21659.25
"69",24667.789063,21803.17969
