"","rep.0..days.","rep.0..days."
"1",0,0
"2",27822.4880905073,20360.1451634797
"3",27902.4642375937,20350.8752259915
"4",27819.9665542568,20317.0825757076
"5",27856.5148337626,20309.9567039949
"6",27854.4908941392,20303.975649527
"7",27798.2331816953,20307.0533801642
"8",27834.2640455386,20296.2334491497
"9",27879.9688732823,20301.2986730029
"10",27930.2937434324,20294.7930170199
"11",28042.0926815326,20293.6975494995
"12",28419.403340988,20292.7037292435
"13",28208.6138570832,20287.5155656136
"14",28175.0173304223,20287.2578623842
"15",28641.6407750987,20286.6286844037
"16",29726.7273556238,20292.0029375816
"17",28519.9305556382,20305.3011791574
"18",28742.2241335947,20308.9742278597
"19",28167.7449948159,20305.6481673436
"20",28513.1327889565,20332.3931695793
"21",28415.4901838053,20325.5761559933
"22",28661.7027034874,20316.2409309078
"23",28742.1779946387,20326.0391081476
"24",28457.4146911835,20335.5959107527
"25",28151.0286200054,20357.4795555666
"26",28209.5600665625,20333.2123043986
"27",28708.4133222425,20312.844978766
"28",29134.57244044,20332.3865260713
"29",28963.4015761546,20341.0711527843
"30",28829.7213885573,20323.9975510562
"31",28445.9787251826,20321.5430025253
"32",28391.8740584374,20317.8901311184
"33",28536.0628967687,20276.5712220199
"34",28386.7755341323,20270.0261414136
"35",28597.4624355521,20261.4980259658
"36",28572.3291691362,20251.385809731
"37",28710.3237597764,20250.4330126474
"38",28718.8024157416,20249.327828621
"39",28512.0265284894,20244.2518105061
"40",28209.3018883121,20241.2587159655
"41",28167.0938249598,20241.8646339469
"42",28246.0514504103,20242.8856300004
"43",28538.5927690303,20240.5241699766
"44",28751.9320865349,20235.2383942384
"45",28747.1039151308,20237.4372127837
"46",28625.1822788852,20236.0193880306
"47",29066.1357593778,20231.5531703867
"48",28942.1781795469,20246.6596537233
"49",28775.0230559912,20234.4247375276
"50",28555.0487696483,20223.5099159435
"51",29162.5123877373,20220.4107775273
"52",29194.6304124971,20215.4829175016
"53",30003.3629320112,20220.4620406913
