"","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days."
"1",29820.2874529847,29822.1591413421,29827.5891960002,29822.0364480848,29829.0481353221
"2",29821.2341438037,29823.1058915807,29828.5361186242,29822.9831944282,29829.9951042623
"3",29822.1808646767,29824.0526718752,29829.4830713096,29823.9299708276,29830.9421032656
"4",29823.1276156049,29824.9994822268,29830.4300540576,29824.8767772839,29831.8891323327
"5",29824.0743965892,29825.9463226363,29831.3770668689,29825.8236137979,29832.8361914648
"6",29825.0212076304,29826.8931931048,29832.3241097447,29826.7704803708,29833.7832806627
"7",29825.9680487296,29827.8400936331,29833.2711826858,29827.7173770033,29834.7303999274
"8",29826.9149198878,29828.7870242221,29834.2182856931,29828.6643036966,29835.6775492598
"9",29827.8618211058,29829.733984873,29835.1654187677,29829.6112604515,29836.624728661
"10",29828.8087523847,29830.6809755866,29836.1125819105,29830.558247269,29837.5719381318
"11",29829.7557137254,29831.6279963638,29837.0597751224,29831.5052641501,29838.5191776732
"12",29830.7027051288,29832.5750472057,29838.0069984045,29832.4523110957,29839.4664472863
"13",29831.6497265958,29833.5221281132,29838.9542517576,29833.3993881067,29840.4137469718
"14",29832.5967781276,29834.4692390872,29839.9015351827,29834.3464951841,29841.3610767308
"15",29833.5438597249,29835.4163801287,29840.8488486808,29835.2936323289,29842.3084365643
"16",29834.4909713889,29836.3635512387,29841.7961922528,29836.240799542,29843.2558264732
"17",29835.4381131203,29837.310752418,29842.7435658997,29837.1879968245,29844.2032464584
"18",29836.3852849202,29838.2579836677,29843.6909696224,29838.1352241771,29845.1506965209
"19",29837.3324867895,29839.2052449887,29844.6384034219,29839.0824816009,29846.0981766616
"20",29838.2797187292,29840.152536382,29845.5858672991,29840.0297690969,29847.0456868816
"21",29839.2269807402,29841.0998578485,29846.533361255,29840.9770866659,29847.9932271818
"22",29840.1742728235,29842.0472093892,29847.4808852906,29841.9244343091,29848.940797563
"23",29841.1215949801,29842.994591005,29848.4284394068,29842.8718120272,29849.8883980264
"24",29842.0689472108,29843.9420026969,29849.3760236046,29843.8192198213,29850.8360285728
"25",29843.0163295167,29844.8894444658,29850.3236378848,29844.7666576923,29851.7836892031
"26",29843.9637418988,29845.8369163127,29851.2712822486,29845.7141256411,29852.7313799184
"27",29844.9111843578,29846.7844182386,29852.2189566967,29846.6616236688,29853.6791007196
"28",29845.8586568949,29847.7319502443,29853.1666612303,29847.6091517763,29854.6268516077
"29",29846.806159511,29848.679512331,29854.1143958501,29848.5567099645,29855.5746325836
"30",29847.7536922069,29849.6271044994,29855.0621605573,29849.5042982344,29856.5224436482
"31",29848.7012549838,29850.5747267506,29856.0099553527,29850.4519165869,29857.4702848025
"32",29849.6488478425,29851.5223790856,29856.9577802373,29851.3995650231,29858.4181560475
"33",29850.596470784,29852.4700615052,29857.9056352121,29852.3472435438,29859.3660573842
"34",29851.5441238092,29853.4177740104,29858.853520278,29853.29495215,29860.3139888134
"35",29852.4918069192,29854.3655166023,29859.801435436,29854.2426908426,29861.2619503362
"36",29853.4395201148,29855.3132892817,29860.7493806869,29855.1904596227,29862.2099419534
"37",29854.387263397,29856.2610920495,29861.6973560319,29856.1382584912,29863.1579636662
"38",29855.3350367667,29857.2089249069,29862.6453614718,29857.086087449,29864.1060154753
"39",29856.282840225,29858.1567878546,29863.5933970075,29858.0339464971,29865.0540973818
"40",29857.2306737728,29859.1046808937,29864.5414626402,29858.9818356364,29866.0022093865
"41",29858.178537411,29860.0526040252,29865.4895583706,29859.9297548679,29866.9503514906
"42",29859.1264311406,29861.0005572499,29866.4376841997,29860.8777041926,29867.8985236949
"43",29860.0743549625,29861.9485405688,29867.3858401286,29861.8256836114,29868.8467260004
"44",29861.0223088777,29862.8965539829,29868.3340261582,29862.7736931252,29869.794958408
"45",29861.9702928872,29863.8445974932,29869.2822422893,29863.7217327351,29870.7432209187
"46",29862.9183069919,29864.7926711006,29870.2304885231,29864.6698024419,29871.6915135335
"47",29863.8663511927,29865.740774806,29871.1787648604,29865.6179022466,29872.6398362532
"48",29864.8144254907,29866.6889086104,29872.1270713021,29866.5660321503,29873.5881890789
"49",29865.7625298867,29867.6370725148,29873.0754078493,29867.5141921538,29874.5365720116
"50",29866.7106643818,29868.5852665201,29874.0237745029,29868.4623822581,29875.4849850521
"51",29867.6588289768,29869.5334906273,29874.9721712639,29869.4106024641,29876.4334282014
