"","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days."
"1",30708,30708,30708,30708,30708
"2",31532.5857022812,30994.5618258483,30840.7928418161,31218.2717055375,31602.7633690424
"3",31297.5810978856,31077.4005341027,30901.4557365506,31658.804538701,31745.2597670132
"4",31215.8122241338,30687.1567035379,29969.2499625035,30733.8663881839,31134.4973863645
"5",31923.0383388438,30335.3842440625,30271.4848210841,29922.764902282,31335.953441805
"6",32016.3364262139,30097.7413134911,29298.080173444,30517.324431172,30954.3704736291
"7",31504.137149272,29669.3400872922,28729.8293549692,30720.0269143605,30819.3629169834
"8",30877.9859441219,30299.2150848112,28140.8530438065,30427.3531771549,30889.0020549644
"9",30754.4032511127,29850.4639725639,28096.9065331938,30277.5886065017,30283.5070192123
"10",30596.0382526908,30380.486467318,28019.5895927802,30139.9355764512,30533.8636039591
"11",31030.7837721776,30875.4161982327,27931.2542446217,29906.4995915519,31375.3882539672
"12",31635.5390145369,30326.3157166175,27744.8483137052,29795.1592011202,31165.7230337865
"13",31590.8045440818,30244.3038692103,27632.2512734692,30189.431803892,31350.3643638546
"14",31195.7307891848,30006.2666973825,27342.790103791,30900.0044650943,31354.747843311
"15",30680.3464011144,30072.4103647039,26506.1825304034,30859.0029380336,31309.3517160008
"16",31665.2720637974,30181.6863983423,26410.869680192,30706.8529836295,30875.0394850506
"17",32251.5551217898,29894.2510767824,25618.7505520564,31099.2930133891,31248.5214455159
"18",31997.7385984663,30200.021433628,26104.7923421391,31462.9705157143,31611.494512915
"19",32479.8164821549,29862.485497558,26911.8482971948,31147.3295577373,31366.7250717357
"20",32751.2175126183,29494.4889004843,28120.460146711,31158.0909453723,31779.7081981728
"21",33087.9350640428,29181.7628002989,27907.9556336083,30673.4576877994,31187.537026547
"22",32690.5584874115,28732.6516152518,28198.9863994606,30794.3598634032,31042.2182514087
"23",32443.5570554508,28803.8869015826,28187.6404944085,30478.2143129266,30742.8113236747
"24",32412.6759631587,28302.0461622388,28235.6179940443,30424.0978512071,31136.1180802442
"25",32478.8656654051,28511.3999263601,27404.0215011642,30471.0919983074,30734.556987593
"26",32961.9349053578,29031.2842100017,26383.2063022833,30087.2261162185,30772.0869898789
"27",32853.2439581538,29174.3567049045,26724.0241838609,30484.455663493,30240.7738661643
"28",33424.1299794083,29762.4582129091,26670.2745895324,30090.5258126984,30715.9082173378
"29",32967.7823653475,29261.4436006537,26397.8220062512,29859.058995971,30538.5254529955
"30",32922.2310546524,29598.9239963565,25995.0542661539,30251.9003530296,30051.4938754466
"31",32106.5977903907,29139.0075308397,25629.0634536777,30193.546788012,30267.722883436
"32",32557.7061821546,28767.6392307608,26151.7479883039,29881.5152714955,30028.3881612487
"33",33437.7001935838,28418.5635750434,26343.6261346377,29398.2016285715,30420.9268405538
"34",33690.830115914,28389.5845882045,26140.6583813992,29503.6345812267,30164.0748107862
"35",33214.5535048399,28055.7815380007,27454.5223061734,29104.1197459897,30880.3727101403
"36",32752.9438497778,27848.6536136981,27449.4086259617,28898.9962562341,30596.3552801387
"37",32938.5993588122,27794.0386523777,27134.6956555091,28699.801016066,29533.0927744388
"38",33400.2806465225,27627.160968642,26639.5824040259,28600.2543848486,29170.2705915792
"39",34017.167071984,27655.5002686343,26512.669279883,28321.2758906626,28987.9000424254
"40",34455.7708326391,28564.60206945,26531.3332456446,28092.5849290764,28981.0693208155
"41",34082.9762911915,28242.6461512784,26440.5927838464,27477.8443315679,28789.8801289125
"42",34744.3938730281,28489.8541695191,26831.1343977788,26628.4971750443,29490.0776178411
"43",34237.5858426903,28165.4777664405,26422.7981081001,26927.8540198768,29125.2637285387
"44",34590.8377743624,28632.5339321195,26969.9254755342,26532.2879373329,29328.1233313578
"45",35023.5253045962,28669.0668504391,27031.4505052202,26130.3454851662,28882.738538831
"46",35320.858861214,29346.9968812351,27197.3714093719,25821.6237456918,28522.1141461114
"47",36143.4343298117,28910.6400219071,26579.8153103523,26037.5938382288,28371.5382495737
"48",36993.8141667388,29402.1088720298,26462.0681085054,26353.9496492961,27943.2263346466
"49",36471.0410419518,29667.7306948221,26817.1375416336,26338.5871050967,28201.433249902
"50",36521.2570042839,30217.4742123851,26253.8240496883,26566.4396660948,28449.078328224
"51",36980.2933261121,30078.6087495059,25698.5970514521,26609.2543011891,28257.5172101426
"52",37508.4235724302,29888.1617763477,26413.20593541,26423.3123080187,28864.8713391155
"53",36938.7624062924,29177.6944591903,25870.2251781222,25928.3093026762,28968.9223141848
"54",37551.213864576,28998.5306828794,26915.4275811488,26059.462495801,28024.4083391517
"55",38025.2898169037,29264.0876096947,26333.6757472397,26492.0259813401,27841.0401344415
"56",39098.2911527829,29460.5973584768,26618.6763949389,25950.5854860554,27847.7970047141
"57",38565.5503800483,29145.6605359239,26395.3120148326,25973.3872700821,28056.6850158902
"58",38298.0470995531,28652.2095579708,25848.7348950992,25803.8348099608,27541.9094340623
"59",37810.8672412999,28763.8128813117,26206.1238188854,25139.5790568591,27437.9836535667
"60",37072.8515676643,28389.8055119379,26273.1173001402,24903.1452820523,26836.4181165211
"61",36975.3943675975,28928.8536482696,26397.5423279628,24927.8184529769,26732.1222675994
"62",36709.6756124886,28869.7157715665,26765.3419232025,24917.5608878041,26783.840775039
"63",37351.1843800331,28743.6918142979,26214.4016724237,24701.7503966087,26987.6901841549
"64",37394.9291670881,28742.4483866561,26549.9887597535,24726.8756899821,26597.1728995131
"65",37974.4136336008,28472.981004655,26916.947016867,24839.8908876438,26143.294484956
"66",36939.241098251,28279.3118034669,26043.0633070354,24502.462354544,26727.1438762072
"67",36793.1023617133,28643.0770018422,26176.4187266167,24328.1143963624,26849.3539091373
"68",36192.3837296691,28188.77848227,25415.6098733923,24623.27813703,27011.0149144892
"69",36450.9711669721,27344.6580876972,24887.2471739419,24842.5800336593,26574.3354784606
"70",35721.7080821048,27563.7716524988,25357.219831394,24200.1626476791,26555.324804182
"71",35555.4659743752,27703.6132847092,24917.3880883411,24456.05193127,26474.3888478757
"72",36218.3435040364,27404.4356291321,25646.6589305669,24412.524817056,27135.2734336121
"73",36309.7281095013,26906.2115220484,25521.4895415969,24480.7754973365,26615.9968562633
"74",37308.5247583257,26626.0019924648,25859.7242468855,24047.2370220475,26170.7526833789
"75",36933.6008990458,26294.9440010093,25251.3887155861,23817.2283155805,26279.6370859487
"76",37116.2602399805,25880.8617053014,25030.113062471,23713.0857860631,25659.1863232692
"77",37449.5766422796,26307.3434083209,24611.6910203112,24009.332927277,25118.9858082188
"78",39294.0050666342,26596.1165298974,24436.4045233346,23775.5690252361,25408.4057839478
"79",39458.2248617853,27121.0715769387,23872.3180135771,23272.33387087,25664.7593898204
"80",39980.8141458457,26974.4440737001,23846.0604913296,23135.7722743107,26353.253252112
"81",40104.3594580617,26613.9911932981,23367.2332890873,22913.7456035974,26436.2112301151
"82",39552.9753027739,26978.5177717006,23483.8168499466,23229.723782449,25808.3504070491
"83",40303.3703558831,27261.2408840371,24027.5267091199,22835.3808449411,25251.2085234955
"84",39676.2910860011,26712.926769088,23464.4757850035,22012.2947942304,25111.5844985738
"85",39591.2383541881,27142.0572745404,23511.4080771249,22677.9744055998,25515.1750427673
"86",38929.8592357939,28063.8170911479,23056.0047168905,22866.6525224428,25443.5855840066
"87",38308.1810140901,27543.9182729914,22881.9582752136,23738.3436217935,25284.5033004588
"88",39305.8627900802,27829.5057006884,23077.2219548751,23192.1792427893,25519.080829369
"89",39397.41503824,27225.3629183742,23088.7287516163,22738.116240318,25571.0596057697
"90",40011.2394098157,27235.2612186302,23532.7820848959,23607.0467775701,25410.124680567
"91",40452.2497322236,27371.9500095167,23421.3884041942,23429.157660886,25400.3323612915
"92",41155.4327527181,27071.9052399718,22621.7878450448,23006.5174042943,24822.9544982601
"93",41000.9477521672,26855.0291271204,22843.761448694,23262.2714034344,24382.3892272437
"94",40475.005744712,26145.6851831841,23173.6568847431,23010.6048778664,24429.8462003449
"95",40244.6787767599,26377.3227080013,23251.4815785262,23172.2671890085,24450.1498799423
"96",39155.4316421755,26230.976161691,23533.9275111906,23248.301907198,24352.9617197685
"97",38690.2640164387,26285.6804245934,23318.5138141249,23374.4943807486,24430.8272728854
"98",37499.8797129406,26516.4320653685,23170.6243470773,23280.5109885524,23725.2228125621
"99",37439.1525897043,27282.4704793016,23618.1750411156,22673.0795584414,23182.4542129767
"100",37410.4769990562,27660.7757679934,24420.6461230934,22709.5145132625,22626.7439493168
"101",36804.5411067236,27477.0766092357,23969.2818194673,22415.7726043117,22815.1567694809
"102",36836.9728707678,27019.1820218975,24168.0190675474,22236.730665759,22527.7093469479
"103",37593.9327064701,27274.082454844,23989.7837458619,22446.2419890316,22841.0128423079
"104",37402.3935259754,27681.1045558449,24144.7702777092,22533.2391485974,22973.8760726227
"105",37595.0650935857,27205.8119990697,24233.8636433838,22654.6783746521,22506.0783676774
"106",37655.7209436551,27623.0535013155,24476.0933291883,23076.6859045578,22848.1443576454
"107",38101.970410682,27764.8491434771,25031.9873434414,22918.9646609108,22367.6133216176
"108",38041.7511741862,27597.4140394489,25694.9618962376,23066.2679018358,21861.041179539
"109",38796.5191010998,28324.4245752141,25631.1684521325,23184.9543279046,22461.3413738984
"110",38780.9346453985,28503.8575906287,25392.7314313002,23247.2924455573,22027.1788560439
"111",38322.1929690398,27952.8092489942,25530.5710028226,23302.5320393695,22347.5951416149
"112",38287.0315577302,28190.4421933646,25380.1825761285,24135.7871575171,22204.6774233482
"113",38151.0917271056,28298.0520835692,25697.2312227276,23736.2982731059,22296.7674165257
"114",37680.1246605493,27725.1264494292,25901.4359934855,23567.2837599696,22221.1877786611
