"","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days."
"1",0,0,0,0,0
"2",30634.7749624692,30671.2677613724,30687.5236062477,30654.7002834691,30641.4502863307
"3",30642.3589852339,30659.948148864,30680.426166215,30631.6540112628,30636.2809973335
"4",30646.8779021447,30691.3105135448,30767.4164751689,30680.8777343963,30659.6595710602
"5",30613.4863067197,30719.3792292488,30725.8674460917,30763.6919549547,30648.4667375796
"6",30602.8668921407,30735.9395657492,30852.9348252161,30696.3278116973,30664.3972798091
"7",30621.3925044882,30790.3870013628,30951.0202979018,30677.0048702825,30673.3654204594
"8",30657.8144375693,30702.6193292224,31078.08584024,30697.9772413223,30661.3226057081
"9",30655.6283035516,30748.8857733107,31078.788304386,30703.1752437976,30706.030317942
"10",30669.9775530479,30685.3586480222,31090.1609864282,30711.4139465326,30676.7469706899
"11",30628.6599992146,30645.0876538395,31107.4254530691,30735.4376468432,30617.7571064929
"12",30600.5397403145,30681.1256927507,31150.6012647737,30742.1650651877,30626.8040337052
"13",30596.4374975547,30693.3973829198,31169.9843260518,30695.212692605,30610.3585841115
"14",30610.0190170372,30710.1104523948,31251.2749741573,30622.7754001592,30610.1196832576
"15",30633.0501191816,30697.7351653963,31540.8250161602,30628.9630174683,30610.4813896071
"16",30591.4939577815,30677.4481268491,31565.7595707932,30628.0681269041,30630.7448104827
"17",30576.551823827,30701.4237603917,31916.0708390562,30601.6407383454,30607.4357047934
"18",30570.2319611173,30659.4745519884,31685.9080860365,30582.2281880618,30586.8581098924
"19",30566.7760634267,30691.1737854518,31360.0915038057,30589.6388004048,30595.358690607
"20",30561.6655385666,30737.2883430926,30998.7357156854,30593.795959234,30579.0546815773
"21",30561.8857645393,30776.8613115579,31043.7801528684,30608.2428370563,30589.0804616431
"22",30555.392440538,30849.9316034634,30961.9623070229,30605.1612988227,30595.767119667
"23",30553.6531791504,30828.2762864933,30957.4683422542,30618.7903488695,30603.7311439903
"24",30552.1866654101,30919.7433728236,30938.6399315771,30615.3584848954,30582.0112708387
"25",30548.3294729965,30873.3587809575,31152.8846167963,30610.2969199732,30604.9493353506
"26",30553.5788331443,30768.4904115747,31507.4929987954,30636.1460675464,30593.0490874449
"27",30549.6937772913,30739.585224772,31367.9226486885,30601.1529044432,30622.7628243066
"28",30565.2272400083,30664.2560087575,31380.2309324111,30631.0476492614,30593.2566088499
"29",30548.0292603616,30707.9711955437,31478.5510210857,30644.7966984831,30594.4567467091
"30",30546.8358749662,30665.5369869259,31637.2228992706,30603.7933426632,30625.0242070098
"31",30535.339542681,30714.8186802845,31802.4419697092,30600.8107059867,30599.7265242161
"32",30533.6021242297,30775.460931578,31552.8674510748,30622.3802424562,30609.1035348163
"33",30550.7132184318,30834.7030868058,31460.3951457235,30671.4334342636,30581.7352061124
"34",30566.2351702155,30830.1300853319,31543.1948802526,30649.1381602365,30597.949311793
"35",30546.3873972024,30892.5145746293,31057.4719158099,30700.2897147421,30544.429039823
"36",30533.1361391529,30942.9498434513,31050.101743049,30723.1789643107,30561.5647937707
"37",30530.6573362724,30945.0654486292,31140.063301553,30750.0907162714,30637.7927815744
"38",30545.4202577766,30982.2204856768,31308.819771458,30761.7961795506,30678.1042159106
"39",30575.5491228015,30964.2356793705,31351.5061616086,30806.684556063,30702.2867469263
"40",30590.585284396,30751.3938306052,31330.7657902703,30848.5819109031,30692.5327790259
"41",30578.4716232869,30811.9470067116,31358.7641898062,30998.0954176139,30716.5518678506
"42",30615.4303506621,30751.6695863843,31205.687547443,31274.0705164127,30613.9655766394
"43",30582.3952046574,30812.0813466802,31349.4668819895,31155.7632877726,30648.6501001728
"44",30607.2850295148,30715.1990562479,31135.9029334454,31292.334463591,30621.3123270077
"45",30628.8641920293,30694.2298802082,31108.3912075149,31446.3850193234,30668.2019957694
"46",30652.1006216495,30589.6470124149,31043.0749314884,31573.8430106432,30724.0583509424
"47",30701.8786224474,30644.4126952505,31247.841724027,31471.1976064817,30741.9831583495
"48",30749.7658583577,30580.5000475646,31288.5530778173,31325.5624261836,30828.7055001262
"49",30728.8314171967,30544.4531515389,31146.1743153171,31322.2715187546,30760.4551027647
"50",30731.8576112161,30505.6802742278,31354.7849358261,31224.6517342293,30704.6570184014
"51",30757.6266335136,30502.3323684624,31600.9221581608,31197.207287877,30737.3673440796
"52",30791.8668775239,30513.7696671664,31269.4268483695,31262.7465220056,30627.8727426236
"53",30767.4772787078,30576.3698526463,31498.2960660962,31466.5599115843,30603.3988982365
"54",30801.0514812078,30584.0814174677,31066.9477818077,31398.4913453762,30758.0547628679
"55",30825.1703033094,30547.7917224396,31274.7727916663,31205.4448371112,30789.8221826823
"56",30881.2534444895,30523.0194831266,31155.9470823579,31428.0600577232,30779.8511990133
"57",30858.4458191681,30545.6348341479,31228.0814373054,31406.0180384711,30727.581778505
"58",30843.3021531268,30602.0485343028,31461.506934695,31476.7172378818,30840.335080573
"59",30823.989405174,30576.4803569604,31291.7696471222,31815.1710189469,30860.5326834082
"60",30780.0693182789,30635.5555382382,31252.6812275299,31948.4976572468,31036.5365235182
"61",30775.5117461998,30542.0727952246,31188.8696748477,31925.2532515537,31062.7620212676
"62",30757.98033647,30540.2563274224,31041.4526134008,31921.7236108322,31031.4175758237
"63",30798.6982272706,30553.1063347091,31247.3422836878,32042.6247271761,30959.1435224353
"64",30804.5154095585,30542.8228800818,31100.5089146926,32019.5562565154,31081.8975074484
"65",30846.2326245542,30574.0171460906,30957.1900116639,31940.6903501035,31260.5025905808
"66",30781.6530141097,30601.7409518445,31290.2272235626,32150.699383628,31018.2518782554
"67",30780.461322243,30535.0520141104,31225.82319816,32257.7051407304,30959.6166824759
"68",30734.9054997332,30597.8142440388,31579.1016468903,32049.5712519442,30901.1087271255
"69",30756.3981214702,30785.6861078707,31879.4717602207,31902.3259606925,31036.4924646752
"70",30712.0120903793,30709.1045812748,31597.5644128909,32322.3765062836,31040.6318002115
"71",30693.7603860771,30672.1690486136,31840.2650082179,32133.0628398071,31056.6876749221
"72",30748.0169854753,30733.1757907629,31417.1673285301,32155.5477594709,30822.5143174264
